Category Type,Capacity,Cabin #,Cat,Deck,Total Berths,Lower Bed Type1,Lower Bed Type2,Upper Berths,Accessible,Connects with,Location,Balcony,Obstructed View,Inventory,Notes,Tags,Status
1,2,1304,1B,10,4,2C,SD,,N,1308,MS,Y,N,1,,,AVAILABLE
1,3,1310,1B,10,4,2C,SD,,N,,MS,Y,N,1,,,AVAILABLE
1,4,1604,1B,10,4,2C,SD,,N,1608,MS,Y,N,1,,,AVAILABLE
2,2,1610,1B,10,4,2C,SD,,N,,MS,Y,N,2,,,AVAILABLE
2,3,6246,1B,6,3,2C,SB,,N,,MS,Y,N,3,,,AVAILABLE
2,4,6248,1B,6,3,2C,SB,,N,,MS,Y,N,4,,,AVAILABLE
3,2,6546,1B,6,3,2C,SB,,N,,MS,Y,N,2,,,AVAILABLE
3,3,6548,1B,6,3,2C,SB,,N,,MS,Y,N,3,,,AVAILABLE
3,4,7246,1B,7,3,2C,SB,,N,,MS,Y,N,4,,,AVAILABLE
1,3,7248,1B,7,3,2C,SB,,N,,MS,Y,N,1,,,AVAILABLE
1,3,7546,1B,7,3,2C,SB,,N,,MS,Y,N,1,,,AVAILABLE
1,3,7548,1B,7,3,2C,SB,,N,,MS,Y,N,1,,,AVAILABLE
1,3,9260,1B,9,3,2C,SB,,N,,MS,Y,N,1,,,AVAILABLE
1,3,9262,1B,9,3,2C,SB,,N,,MS,Y,N,1,,,AVAILABLE
1,4,9302,1B,9,4,2C,SD,,N,9300,MS,Y,N,1,,,AVAILABLE
1,4,9306,1B,9,4,2C,SD,,N,9304,MS,Y,N,1,,,AVAILABLE
1,3,9308,1B,9,3,2C,SB,,N,,MS,Y,N,1,,,AVAILABLE
1,3,9310,1B,9,3,2C,SB,,N,,MS,Y,N,1,,,AVAILABLE
1,4,9314,1B,9,4,2C,SD,,N,9312,MS,Y,N,1,,,AVAILABLE
1,4,9318,1B,9,4,2C,SD,,N,9316,MS,Y,N,1,,,AVAILABLE
1,3,9550,1B,9,3,2C,SB,,N,,MS,Y,N,1,,,AVAILABLE
1,3,9562,1B,9,3,2C,SB,,N,,MS,Y,N,1,,,AVAILABLE
1,3,9576,1B,9,3,2C,SB,,N,,MS,Y,N,1,,,AVAILABLE
1,4,9602,1B,9,4,2C,SD,,N,9600,MS,Y,N,1,,,AVAILABLE
1,4,9606,1B,9,4,2C,SD,,N,9604,MS,Y,N,1,,,AVAILABLE
1,3,9608,1B,9,3,2C,SB,,N,,MS,Y,N,1,,,AVAILABLE
1,3,9610,1B,9,3,2C,SB,,N,,MS,Y,N,1,,,AVAILABLE
1,4,9614,1B,9,4,2C,SD,,N,9612,MS,Y,N,1,,,AVAILABLE
1,4,9618,1B,9,4,2C,SD,,N,9616,MS,Y,N,1,,,AVAILABLE
1,2,6330,1D,6,4,2C,SD,,N,,MS,Y,N,1,,,AVAILABLE
1,3,6348,1D,6,4,2C,SD,,N,,MS,Y,N,1,,,AVAILABLE
1,4,6630,1D,6,4,2C,SD,,N,,MS,Y,N,1,,,AVAILABLE
2,2,6648,1D,6,4,2C,SD,,N,,MS,Y,N,2,,,AVAILABLE
2,3,7330,1D,7,4,2C,SD,,N,,MS,Y,N,3,,,AVAILABLE
2,4,7348,1D,7,4,2C,SD,,N,,MS,Y,N,4,,,AVAILABLE
3,2,7630,1D,7,4,2C,SD,,N,,MS,Y,N,2,,,AVAILABLE
3,3,7648,1D,7,4,2C,SD,,N,,MS,Y,N,3,,,AVAILABLE
3,4,X001,1D,7,4,2C,SD,,N,,MS,Y,N,4,,,AVAILABLE
1,4,2268,1K,2,6,2C,2C,2,N,,MS,N,N,1,,,AVAILABLE
1,5,2568,1K,2,6,2C,2C,2,N,,MS,N,N,1,,,AVAILABLE
1,6,6200,1K,6,6,2C,2C,2,N,,FW,N,N,1,,,AVAILABLE
1,6,6500,1K,6,6,2C,2C,2,N,,FW,N,N,1,,,AVAILABLE
1,6,7200,1K,7,6,2C,2C,2,N,,FW,N,N,1,,,AVAILABLE
1,6,7500,1K,7,6,2C,2C,2,N,,FW,N,N,1,,,AVAILABLE
1,6,8200,1K,8,6,2C,2C,2,N,,FW,N,N,1,,,AVAILABLE
1,6,8500,1K,8,6,2C,2C,2,N,,FW,N,N,1,,,AVAILABLE
1,6,9200,1K,9,6,2C,2C,2,N,,FW,N,N,1,,,AVAILABLE
1,6,9500,1K,9,6,2C,2C,2,N,,FW,N,N,1,,,AVAILABLE
1,2,1100,1L,11,4,2C,SD,,N,,FW,N,N,1,,,AVAILABLE
1,3,1150,1L,11,4,2C,SD,,N,,FW,N,N,1,,,AVAILABLE
1,4,1802,1L,12,4,2C,SD,,N,,FW,N,N,1,,,AVAILABLE
2,2,1806,1L,12,2,2C,,,N,,FW,N,N,2,,,AVAILABLE
2,3,1808,1L,12,4,2C,SD,,N,,FW,N,N,3,,,AVAILABLE
2,4,1810,1L,12,4,2C,SD,,N,,FW,N,N,4,,,AVAILABLE
3,2,1812,1L,12,4,2C,SD,,N,,FW,N,N,2,,,AVAILABLE
3,3,1814,1L,12,4,2C,SD,,Y,,FW,N,N,3,,,AVAILABLE
3,4,1816,1L,12,2,2C,,,N,,FW,N,N,4,,,AVAILABLE
1,2,1818,1L,12,2,2C,,,N,,FW,N,N,1,,,AVAILABLE
1,4,1820,1L,12,4,2C,SD,,N,,FW,N,N,1,,,AVAILABLE
1,4,1822,1L,12,4,2C,SD,,N,,FW,N,N,1,,,AVAILABLE
1,4,1824,1L,12,4,2C,SD,,N,,FW,N,N,1,,,AVAILABLE
1,2,1826,1L,12,2,2C,,,N,,FW,N,N,1,,,AVAILABLE
1,4,1852,1L,12,4,2C,SD,,N,,FW,N,N,1,,,AVAILABLE
1,2,1856,1L,12,2,2C,,,N,,FW,N,N,1,,,AVAILABLE
1,4,1858,1L,12,4,2C,SD,,N,,FW,N,N,1,,,AVAILABLE
1,4,1860,1L,12,4,2C,SD,,N,,FW,N,N,1,,,AVAILABLE
1,4,1862,1L,12,4,2C,SD,,N,,FW,N,N,1,,,AVAILABLE
1,4,1864,1L,12,4,2C,SD,,N,,FW,N,N,1,,,AVAILABLE
1,2,1866,1L,12,2,2C,,,N,,FW,N,N,1,,,AVAILABLE
1,2,1868,1L,12,2,2C,,,N,,FW,N,N,1,,,AVAILABLE
1,4,1870,1L,12,4,2C,SD,,N,,FW,N,N,1,,,AVAILABLE
1,4,1872,1L,12,4,2C,SD,,N,,FW,N,N,1,,,AVAILABLE
1,4,1874,1L,12,4,2C,SD,,N,,FW,N,N,1,,,AVAILABLE
1,2,1876,1L,12,2,2C,,,N,,FW,N,N,1,,,AVAILABLE
1,2,2250,1N,2,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,3,2252,1N,2,4,2C,,2,N,2254,MS,N,N,1,,,AVAILABLE
1,4,2260,1N,2,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
2,2,2264,1N,2,4,2C,,2,N,,MS,N,N,2,,,AVAILABLE
2,3,2282,1N,2,4,2C,,2,N,,MS,N,N,3,,,AVAILABLE
2,4,2284,1N,2,4,2C,,2,N,2286,MS,N,N,4,,,AVAILABLE
3,2,2288,1N,2,4,2C,,2,N,,MS,N,N,2,,,AVAILABLE
3,3,2292,1N,2,4,2C,,2,N,,MS,N,N,3,,,AVAILABLE
3,4,2304,1N,2,4,2C,,2,N,2302,MS,N,N,4,,,AVAILABLE
1,4,2314,1N,2,4,2C,,2,N,2312,MS,N,N,1,,,AVAILABLE
1,4,2322,1N,2,4,2C,,2,N,2324,MS,N,N,1,,,AVAILABLE
1,4,2324,1N,2,4,2C,,2,N,2322,MS,N,N,1,,,AVAILABLE
1,4,2330,1N,2,4,2C,,2,N,2332,MS,N,N,1,,,AVAILABLE
1,4,2336,1N,2,4,2C,,2,N,2334,MS,N,N,1,,,AVAILABLE
1,4,2338,1N,2,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,2544,1N,2,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,2546,1N,2,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,2548,1N,2,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,2552,1N,2,4,2C,,2,N,2554,MS,N,N,1,,,AVAILABLE
1,4,2560,1N,2,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,2564,1N,2,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,2582,1N,2,4,2C,,2,N,2580,MS,N,N,1,,,AVAILABLE
1,4,2584,1N,2,4,2C,,2,N,2586,MS,N,N,1,,,AVAILABLE
1,4,2588,1N,2,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,2594,1N,2,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,2604,1N,2,4,2C,,2,N,2602,MS,N,N,1,,,AVAILABLE
1,4,2614,1N,2,4,2C,,2,N,2612,MS,N,N,1,,,AVAILABLE
1,4,2622,1N,2,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,2624,1N,2,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,2636,1N,2,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,2638,1N,2,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,3244,1N,3,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,3246,1N,3,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,3248,1N,3,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,3250,1N,3,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,3254,1N,3,4,2C,,2,N,3252,MS,N,N,1,,,AVAILABLE
1,4,3256,1N,3,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,3258,1N,3,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,3260,1N,3,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,3262,1N,3,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,3264,1N,3,4,2C,,2,N,3266,MS,N,N,1,,,AVAILABLE
1,4,3266,1N,3,4,2C,,2,N,3264,MS,N,N,1,,,AVAILABLE
1,4,3268,1N,3,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,3302,1N,3,4,2C,,2,N,3300,MS,N,N,1,,,AVAILABLE
1,4,3312,1N,3,4,2C,,2,N,3314,MS,N,N,1,,,AVAILABLE
1,4,3318,1N,3,4,2C,,2,N,3316,MS,N,N,1,,,AVAILABLE
1,4,3544,1N,3,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,3546,1N,3,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,3548,1N,3,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,3550,1N,3,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,3554,1N,3,4,2C,,2,N,3552,MS,N,N,1,,,AVAILABLE
1,4,3556,1N,3,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,3558,1N,3,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,3560,1N,3,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,3562,1N,3,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,3564,1N,3,4,2C,,2,N,3566,MS,N,N,1,,,AVAILABLE
1,4,3566,1N,3,4,2C,,2,N,3564,MS,N,N,1,,,AVAILABLE
1,4,3568,1N,3,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,3602,1N,3,4,2C,,2,N,3600,MS,N,N,1,,,AVAILABLE
1,4,3612,1N,3,4,2C,,2,N,3614,MS,N,N,1,,,AVAILABLE
1,4,3618,1N,3,4,2C,,2,N,3616,MS,N,N,1,,,AVAILABLE
1,4,7307,1Q,7,6,2C,2C,2,N,,MS,N,N,1,,,AVAILABLE
1,5,7607,1Q,7,6,2C,2C,2,N,,MS,N,N,1,,,AVAILABLE
1,6,8307,1Q,8,6,2C,2C,2,N,,MS,N,N,1,,,AVAILABLE
1,6,8607,1Q,8,6,2C,2C,2,N,,MS,N,N,1,,,AVAILABLE
1,4,2309,1R,2,6,2C,2C,2,N,,MS,N,N,1,,,AVAILABLE
1,5,2313,1R,2,6,2C,2C,2,N,,MS,N,N,1,,,AVAILABLE
1,2,1253,1V,10,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,3,1255,1V,10,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,1257,1V,10,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
2,2,1307,1V,10,4,2C,,2,N,1305,MS,N,N,2,,,AVAILABLE
2,3,1553,1V,10,4,2C,,2,N,,MS,N,N,3,,,AVAILABLE
2,4,1555,1V,10,4,2C,,2,N,,MS,N,N,4,,,AVAILABLE
3,2,1557,1V,10,4,2C,,2,N,,MS,N,N,2,,,AVAILABLE
3,3,1559,1V,10,4,2C,,2,N,,MS,N,N,3,,,AVAILABLE
3,4,1561,1V,10,4,2C,,2,N,,MS,N,N,4,,,AVAILABLE
1,4,1563,1V,10,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,1607,1V,10,4,2C,,2,N,1605,MS,N,N,1,,,AVAILABLE
1,4,1621,1V,10,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,1623,1V,10,4,2C,,2,N,,MS,N,N,1,,,AVAILABLE
1,4,2611,1V,2,4,2C,,2,N,2609,MS,N,N,1,,,AVAILABLE
1,4,2615,1V,2,4,2C,,2,N,2613,MS,N,N,1,,,AVAILABLE
1,4,3607,1V,3,4,2C,,2,N,3605,MS,N,N,1,,,AVAILABLE
1,4,3613,1V,3,4,2C,,2,N,3615,MS,N,N,1,,,AVAILABLE
1,4,9307,1V,9,4,2C,,2,N,9305,MS,N,N,1,,,AVAILABLE
1,4,9311,1V,9,4,2C,,2,N,9309,MS,N,N,1,,,AVAILABLE
1,4,9315,1V,9,4,2C,,2,N,9313,MS,N,N,1,,,AVAILABLE
1,4,9553,1V,9,4,2C,SD,,Y,,MS,N,N,1,,,AVAILABLE
1,4,9557,1V,9,4,2C,SD,,Y,,MS,N,N,1,,,AVAILABLE
1,4,9561,1V,9,4,2C,SD,,Y,,MS,N,N,1,,,AVAILABLE
1,4,9607,1V,9,4,2C,,2,N,9605,MS,N,N,1,,,AVAILABLE
1,4,9611,1V,9,4,2C,,2,N,9609,MS,N,N,1,,,AVAILABLE
1,4,9615,1V,9,4,2C,,2,N,9613,MS,N,N,1,,,AVAILABLE
1,2,1270,2B,10,2,2C,,,N,1274,MS,Y,N,1,,,AVAILABLE
2,2,1288,2B,10,2,2C,,,N,1286,MS,Y,N,1,,,AVAILABLE
3,2,1308,2B,10,2,2C,,,N,1304,MS,Y,N,2,,,AVAILABLE
1,2,1318,2B,10,2,2C,,,N,,MS,Y,N,2,,,AVAILABLE
1,2,1330,2B,10,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,1570,2B,10,2,2C,,,N,1574,MS,Y,N,1,,,AVAILABLE
1,2,1588,2B,10,2,2C,,,N,1586,MS,Y,N,1,,,AVAILABLE
1,2,1608,2B,10,2,2C,,,N,1604,MS,Y,N,1,,,AVAILABLE
1,2,1618,2B,10,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,1630,2B,10,2,2C,,,N,1628,MS,Y,N,1,,,AVAILABLE
1,2,8246,2B,8,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,8248,2B,8,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,8546,2B,8,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,8548,2B,8,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,9250,2B,9,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,9252,2B,9,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,9276,2B,9,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,9278,2B,9,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,9286,2B,9,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,9288,2B,9,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,9290,2B,9,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,9292,2B,9,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,9300,2B,9,2,2C,,,N,9302,MS,Y,N,1,,,AVAILABLE
1,2,9304,2B,9,2,2C,,,N,9306,MS,Y,N,1,,,AVAILABLE
1,2,9312,2B,9,2,2C,,,N,9314,MS,Y,N,1,,,AVAILABLE
1,2,9316,2B,9,2,2C,,,N,9318,MS,Y,N,1,,,AVAILABLE
1,2,9320,2B,9,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,9322,2B,9,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,9330,2B,9,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,9332,2B,9,2,2C,,,N,9334,MS,Y,N,1,,,AVAILABLE
1,2,9340,2B,9,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,9342,2B,9,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,9552,2B,9,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,9560,2B,9,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,9578,2B,9,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,9586,2B,9,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,9588,2B,9,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,9590,2B,9,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,9592,2B,9,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,9600,2B,9,2,2C,,,N,9602,MS,Y,N,1,,,AVAILABLE
1,2,9604,2B,9,2,2C,,,N,9606,MS,Y,N,1,,,AVAILABLE
1,2,9612,2B,9,2,2C,,,N,9614,MS,Y,N,1,,,AVAILABLE
1,2,9616,2B,9,2,2C,,,N,9618,MS,Y,N,1,,,AVAILABLE
1,2,9620,2B,9,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,9622,2B,9,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,9630,2B,9,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,9632,2B,9,2,2C,,,N,9634,MS,Y,N,1,,,AVAILABLE
1,2,9640,2B,9,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,9642,2B,9,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6252,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,3,6256,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
2,2,6258,2D,6,2,2C,,,N,,MS,Y,N,2,,,AVAILABLE
2,3,6260,2D,6,2,2C,,,N,,MS,Y,N,3,,,AVAILABLE
3,2,6262,2D,6,2,2C,,,N,,MS,Y,N,2,,,AVAILABLE
3,3,6264,2D,6,2,2C,,,N,,MS,Y,N,3,,,AVAILABLE
1,2,6266,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6268,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6270,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6272,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6274,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6276,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6278,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6280,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6282,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6284,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6286,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6288,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6290,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6296,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6300,2D,6,2,2C,,,N,6302,MS,Y,N,1,,,AVAILABLE
1,2,6308,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6312,2D,6,2,2C,,,N,6310,MS,Y,N,1,,,AVAILABLE
1,2,6314,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6320,2D,6,2,2C,,,Y,,MS,Y,N,1,,,AVAILABLE
1,2,6324,2D,6,2,2C,,,Y,,MS,Y,N,1,,,AVAILABLE
1,2,6332,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6334,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6336,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6338,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6340,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6342,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6344,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6346,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6552,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6556,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6558,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6560,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6562,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6564,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6566,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6568,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6570,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6572,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6574,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6576,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6578,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6580,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6582,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6584,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6586,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6590,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6596,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6600,2D,6,2,2C,,,N,6602,MS,Y,N,1,,,AVAILABLE
1,2,6608,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6612,2D,6,2,2C,,,N,6610,MS,Y,N,1,,,AVAILABLE
1,2,6614,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6620,2D,6,2,2C,,,Y,,MS,Y,N,1,,,AVAILABLE
1,2,6624,2D,6,2,2C,,,Y,,MS,Y,N,1,,,AVAILABLE
1,2,6632,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6634,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6636,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6638,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6640,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6642,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6644,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,6646,2D,6,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7252,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7256,2D,7,2,2C,,,N,7254,MS,Y,N,1,,,AVAILABLE
1,2,7258,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7260,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7266,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7268,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7270,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7272,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7274,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7276,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7278,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7280,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7282,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7284,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7286,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7288,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7290,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7296,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7306,2D,7,2,2C,,,N,7304,MS,Y,N,1,,,AVAILABLE
1,2,7308,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7312,2D,7,2,2C,,,N,7314,MS,Y,N,1,,,AVAILABLE
1,2,7320,2D,7,2,2C,,,Y,,MS,Y,N,1,,,AVAILABLE
1,2,7324,2D,7,2,2C,,,Y,,MS,Y,N,1,,,AVAILABLE
1,2,7332,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7334,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7336,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7338,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7340,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7342,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7344,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7346,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7544,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7552,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7558,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7560,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7566,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7568,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7570,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7572,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7574,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
1,2,7576,2D,7,2,2C,,,N,,MS,Y,N,1,,,AVAILABLE
